Station.name		Month	Year	THg	
Glomma		1	2019 mean	0.81	
Glomma		2	2019 mean	0.93	
Glomma		3	2019 mean	2.75	
Glomma		4	2019 mean	1.42	
Glomma		5	2019 mean	3.01	
Glomma		6	2019 mean	2.04	
Glomma		7	2019 mean	1.17	
Glomma		8	2019 mean	0.78	
Glomma		9	2019 mean	0.81	
Glomma		10	2019 mean	1.71	
Glomma		11	2019 mean	2.53	
Glomma		12	2019 mean	3.78	
Alna		1	2019 mean	1.25	
Alna		2	2019 mean	0.74	
Alna		3	2019 mean	3.11	
Alna		4	2019 mean	2.5	
Alna		5	2019 mean	1.59	
Alna		6	2019 mean	2.83	
Alna		7	2019 mean	1.97	
Alna		8	2019 mean	1.83	
Alna		9	2019 mean	10.01	
Alna		10	2019 mean	3.37	
Alna		11	2019 mean	2.06	
Alna		12	2019 mean	1.83	
Drammenselva		1	2019 mean	0.69	
Drammenselva		2	2019 mean	0.57	
Drammenselva		3	2019 mean	0.92	
Drammenselva		4	2019 mean	1.6	
Drammenselva		5	2019 mean	1.3	
Drammenselva		6	2019 mean	1.78	
Drammenselva		7	2019 mean	1.27	
Drammenselva		8	2019 mean	0.77	
Drammenselva		9	2019 mean	0.97	
Drammenselva		10	2019 mean	1.08	
Drammenselva		11	2019 mean	1.12	
Drammenselva		12	2019 mean	1.14	
Numedalslågen		1	2019 mean	2.22	
Numedalslågen		2	2019 mean	3.16	
Numedalslågen		3	2019 mean	1.68	
Numedalslågen		4	2019 mean	2.57	
Numedalslågen		5	2019 mean	2.35	
Numedalslågen		6	2019 mean	2.32	
Numedalslågen		7	2019 mean	1.76	
Numedalslågen		8	2019 mean	1.09	
Numedalslågen		9	2019 mean	1.84	
Numedalslågen		10	2019 mean	2.01	
Numedalslågen		11	2019 mean	2.62	
Numedalslågen		12	2019 mean	2.89	
Skienselva		1	2019 mean	0.83	
Skienselva		2	2019 mean	0.86	
Skienselva		3	2019 mean	0.99	
Skienselva		4	2019 mean	1.3	
Skienselva		5	2019 mean	1.11	
Skienselva		6	2019 mean	1.15	
Skienselva		7	2019 mean	1.15	
Skienselva		8	2019 mean	1.28	
Skienselva		9	2019 mean	1.18	
Skienselva		10	2019 mean	1.15	
Skienselva		11	2019 mean	1.24	
Skienselva		12	2019 mean	1.34	
Vegårdselva		1	2019 mean	1.67	
Vegårdselva		2	2019 mean	1.44	
Vegårdselva		3	2019 mean	2.22	
Vegårdselva		4	2019 mean	2.18	
Vegårdselva		5	2019 mean	1.79	
Vegårdselva		6	2019 mean	5.26	
Vegårdselva		7	2019 mean	2.19	
Vegårdselva		8	2019 mean	1.2	
Vegårdselva		9	2019 mean	1.67	
Vegårdselva		10	2019 mean	2.47	
Vegårdselva		11	2019 mean	2.03	
Vegårdselva		12	2019 mean	2.57	
Otra		1	2019 mean	0.92	
Otra		2	2019 mean	1	
Otra		3	2019 mean	1.26	
Otra		4	2019 mean	1.33	
Otra		5	2019 mean	1.34	
Otra		6	2019 mean	1.87	
Otra		7	2019 mean	1.12	
Otra		8	2019 mean	1.36	
Otra		9	2019 mean	2.03	
Otra		10	2019 mean	1.67	
Otra		11	2019 mean	1.35	
Otra		12	2019 mean		
Bjerkreimselva		1	2019 mean	0.77	
Bjerkreimselva		2	2019 mean	0.64	
Bjerkreimselva		3	2019 mean	1.29	
Bjerkreimselva		4	2019 mean	0.86	
Bjerkreimselva		5	2019 mean	0.73	
Bjerkreimselva		6	2019 mean	NA	
Bjerkreimselva		7	2019 mean	0.84	
Bjerkreimselva		8	2019 mean	1.77	
Bjerkreimselva		9	2019 mean	1.14	
Bjerkreimselva		10	2019 mean	0.98	
Bjerkreimselva		11	2019 mean	0.81	
Bjerkreimselva		12	2019 mean		
Orreelva		1	2019 mean	1.12	
Orreelva		2	2019 mean	1.76	
Orreelva		3	2019 mean	1.29	
Orreelva		4	2019 mean	1.27	
Orreelva		5	2019 mean	1.4	
Orreelva		6	2019 mean	1.22	
Orreelva		7	2019 mean	0.68	
Orreelva		8	2019 mean	0.6	
Orreelva		9	2019 mean	0.22	
Orreelva		10	2019 mean	0.9	
Orreelva		11	2019 mean	1.02	
Orreelva		12	2019 mean		
Vikedalselva		1	2019 mean	0.8	
Vikedalselva		2	2019 mean	0.82	
Vikedalselva		3	2019 mean	0.97	
Vikedalselva		4	2019 mean	1.64	
Vikedalselva		5	2019 mean	0.87	
Vikedalselva		6	2019 mean	1.95	
Vikedalselva		7	2019 mean	3.07	
Vikedalselva		8	2019 mean	3.78	
Vikedalselva		9	2019 mean	1.19	
Vikedalselva		10	2019 mean	0.8	
Vikedalselva		11	2019 mean	0.78	
Vikedalselva		12	2019 mean		
Vosso		1	2019 mean	1.16	
Vosso		2	2019 mean	0.62	
Vosso		3	2019 mean	1	
Vosso		4	2019 mean	1.36	
Vosso		5	2019 mean	0.91	
Vosso		6	2019 mean	1.27	
Vosso		7	2019 mean	0.88	
Vosso		8	2019 mean	0.76	
Vosso		9	2019 mean	0.22	
Vosso		10	2019 mean	0.93	
Vosso		11	2019 mean	0.85	
Vosso		12	2019 mean		
Nausta		1	2019 mean	0.8	
Nausta		2	2019 mean	0.53	
Nausta		3	2019 mean	0.85	
Nausta		4	2019 mean	0.72	
Nausta		5	2019 mean	0.83	
Nausta		6	2019 mean	2.6	
Nausta		7	2019 mean	2.99	
Nausta		8	2019 mean	2.43	
Nausta		9	2019 mean	1.19	
Nausta		10	2019 mean	0.93	
Nausta		11	2019 mean	0.69	
Nausta		12	2019 mean		
Driva		1	2019 mean	0.68	
Driva		2	2019 mean	0.27	
Driva		3	2019 mean	0.6	
Driva		4	2019 mean	1.08	
Driva		5	2019 mean	0.88	
Driva		6	2019 mean	1.36	
Driva		7	2019 mean	0.53	
Driva		8	2019 mean	0.25	
Driva		9	2019 mean	0.38	
Driva		10	2019 mean	0.47	
Driva		11	2019 mean	0.36	
Driva		12	2019 mean		
Orkla		1	2019 mean	0.98	
Orkla		2	2019 mean	0.52	
Orkla		3	2019 mean	0.86	
Orkla		4	2019 mean	1.14	
Orkla		5	2019 mean	1.15	
Orkla		6	2019 mean	1.75	
Orkla		7	2019 mean	1.49	
Orkla		8	2019 mean	0.64	
Orkla		9	2019 mean	0.96	
Orkla		10	2019 mean	1.03	
Orkla		11	2019 mean	0.84	
Orkla		12	2019 mean		
Nidelva		1	2019 mean	1	
Nidelva		2	2019 mean	0.65	
Nidelva		3	2019 mean	1.02	
Nidelva		4	2019 mean	NA	
Nidelva		5	2019 mean	0.86	
Nidelva		6	2019 mean	1.18	
Nidelva		7	2019 mean	1.19	
Nidelva		8	2019 mean	0.69	
Nidelva		9	2019 mean	0.51	
Nidelva		10	2019 mean	0.88	
Nidelva		11	2019 mean	1.09	
Nidelva		12	2019 mean		
Vefsna		1	2019 mean	0.07	
Vefsna		2	2019 mean	0.47	
Vefsna		3	2019 mean	0.73	
Vefsna		4	2019 mean	0.91	
Vefsna		5	2019 mean	0.72	
Vefsna		6	2019 mean	0.99	
Vefsna		7	2019 mean	0.77	
Vefsna		8	2019 mean	0.36	
Vefsna		9	2019 mean	0.36	
Vefsna		10	2019 mean	0.37	
Vefsna		11	2019 mean	0.58	
Vefsna		12	2019 mean		
Målselva		1	2019 mean	0.34	
Målselva		2	2019 mean	0.23	
Målselva		3	2019 mean	0.82	
Målselva		4	2019 mean	0.5	
Målselva		5	2019 mean	0.65	
Målselva		6	2019 mean	1.59	
Målselva		7	2019 mean	0.46	
